"scientific_name","nombre_comun_es","number_of_trees"
"Caesalpinia peltophoroides","Acacia robinia","24812"
"Dypsis lutescens","Palma areca","18930"
"Swinglea glutinosa","Limon swinglea, Swinglea","16897"
"Ficus benjamina","Ficus benjamina, Caucho benjamin","11701"
"Mangifera indica","Mango","11655"
"Caesalpinia ebano","Ebano, Ebano costeno","9535"
"Terminalia catappa","Almendro","9413"
"Tabebuia rosea","Guayacan rosado","9102"
"Pithecellobium dulce","Chiminango","9037"
"Leucaena leucocephala","Leucaena","6933"
"Adonidia merrillii","Palma manila, Palma navidad","6643"
"Roystonea regia","Palma real de Cuba","6444"
"Albizia saman","Saman, Genizaro","6391"
"Spathodea campanulata","Tulipan africano","4611"
"Annona muricata","Guanabano","4011"
"Platycladus orientalis","Pino tuya, Pino libro","3870"
"Roystonea oleracea","Palma botella, Palma imperial, Mapora","3606"
"Guazuma ulmifolia","Guacimo","3396"
"Persea americana","Aguacate","3308"
"Melicoccus bijugatus","Mamoncillo","3167"
"Araucaria excelsa","Araucaria","3108"
"Handroanthus chrysanthus","Guayacan amarillo, Chicala","2955"
"Jacaranda caucana","Gualanday","2892"
"Cascabela thevetia","Cojon de cabrito, Pepa de cabra, Cajeto, Enebro","2787"
"Dracaena fragrans","Dracaena roja","2734"
"Citrus lemon","Limon","2530"
"Citrus aurantium","Naranjo","2449"
"Clitoria fairchildiana","Sauce Costeno, Bohio","2231"
"Senna siamea","Acacia amarilla, Acacia siamea","2168"
"Psidium guajava","Guayabo","2031"
"Murraya paniculata","Cerezo, Mirto, Azahar","1986"
"Elaeis guineensis","Palma africana","1956"
"Hibiscus rosa-sinensis","Resucitado","1928"
"Cocos nucifera","Palma de coco","1926"
"Geoffroea spinosa","Ebano","1894"
"Morinda citrifolia","Noni","1714"
"Delonix regia","Acacia roja, Flamboyan","1706"
"Cananga odorata","Cadmio, Cananga","1688"
"Schefflera actinophylla","Cheflera","1560"
"Crescentia cujete","Totumo, Mate, Calabazo","1485"
"Citrus reticulata","Mandarina","1471"
"Chamaecyparis pisifera","Cipres abanico, Pino libro","1460"
"Senna spectabilis","Floramarillo, Velero, Vainillo","1456"
NULL,NULL,"1386"
"Myrcia selloi","Arrayan cerezo","1375"
"Bougainvillea glabra","Veranera","1281"
"Catalpa longissima","Catalpa, Crispeta","1268"
"Cassia fistula","Chorro de oro, Lluvia de oro","1236"
"Ceiba pentandra","Ceiba, Ceiba bruja, Ceiba de lana, Bonga","1131"
"Blighia sapida","Seso, Bien me sabe","1093"
"Sapindus saponaria","Chambimbe, Jaboncillo","1069"
"Yucca filifera","Palma de yuca","1038"
"Dypsis madagascariensis","Palma de Madagascar, Palma de anillos","969"
"Pritchardia pacifica","Palma abanico, Palma de Fiji","945"
"Washingtonia filifera","Palma Washingtonia","913"
"Licania tomentosa","Oiti","878"
"Syzygium malaccense","Pera de Malaca","877"
"Caesalpinia pulcherrima","Clavellino, Mariposa","863"
"Phoenix roebelenii","Palma Robeleni","848"
"Bulnesia carrapo","Guayacan carrapo","798"
"Albizia guachapele","Igua","791"
"Pachira insignes","Castano","785"
"Calliandra pittieri","Carbonero","774"
"Pimenta racemosa","Aceituno, Malagueto","769"
"Erythroxylum coca","Coca","739"
"Plumeria alba","Amancayo, Blanco, Azuceno","737"
"Lagerstroemia speciosa","Flor de la reina","728"
"Bauhinia variegata","Casco de vaca blanco","726"
